approx-q,epi-sarsa,online-sarsa
-731.0,-607.0,1534.0
297.0,-895.0,1347.0
1270.0,-492.0,1218.0
1511.0,-535.0,-339.0
-529.0,1744.0,-212.0
1507.0,1485.0,1205.0
1215.0,121.0,1267.0
1423.0,502.0,219.0
1087.0,1538.0,-293.0
1334.0,1930.0,1536.0
1535.0,1719.0,1535.0
1532.0,1522.0,1530.0
1292.0,1491.0,1326.0
1294.0,1502.0,1513.0
1746.0,-338.0,1493.0
1702.0,1500.0,1726.0
-329.0,1497.0,1323.0
-15.0,1490.0,1317.0
1728.0,1506.0,-39.0
-392.0,1497.0,1332.0
1318.0,1280.0,475.0
-320.0,1705.0,1518.0
1307.0,1329.0,1534.0
1285.0,-239.0,1729.0
1293.0,1494.0,1492.0
-356.0,-356.0,-195.0
1310.0,1293.0,-311.0
1529.0,1927.0,1532.0
-213.0,1486.0,1745.0
1513.0,-293.0,1530.0
1332.0,1535.0,1493.0
1528.0,1703.0,1522.0
1338.0,-159.0,108.0
1529.0,-149.0,1534.0
1525.0,1291.0,1330.0
-311.0,1499.0,1336.0
1484.0,-293.0,1527.0
-17.0,1328.0,1342.0
1737.0,-338.0,1481.0
1322.0,1294.0,1300.0
1300.0,1292.0,1284.0
1689.0,1285.0,-54.0
-97.0,-15.0,-149.0
33.0,1494.0,1294.0
1285.0,314.0,39.0
-293.0,1498.0,1278.0
1290.0,1696.0,1307.0
-329.0,-123.0,1289.0
186.0,1296.0,1532.0
1238.0,-293.0,-356.0
-151.0,1508.0,1526.0
1521.0,1322.0,39.0
1294.0,1294.0,-34.0
1293.0,1731.0,458.0
1279.0,188.0,1304.0
30.0,1278.0,-123.0
1469.0,1291.0,1516.0
1732.0,-15.0,1295.0
1333.0,1497.0,-230.0
1291.0,1541.0,1292.0
1529.0,-293.0,-239.0
-89.0,1326.0,1300.0
1531.0,-349.0,1500.0
-311.0,1309.0,1510.0
1512.0,-114.0,-329.0
1500.0,1532.0,1311.0
1700.0,-356.0,-329.0
39.0,-203.0,-356.0
1499.0,-320.0,1289.0
1284.0,-311.0,1291.0
1289.0,1344.0,-222.0
-214.0,1538.0,-293.0
1283.0,1299.0,1292.0
1487.0,-320.0,1289.0
1534.0,1502.0,1536.0
1530.0,1338.0,-341.0
1898.0,-229.0,1521.0
1546.0,-150.0,-338.0
1520.0,1712.0,-114.0
1526.0,-150.0,1500.0
-266.0,-186.0,1709.0
1319.0,1542.0,468.0
208.0,1507.0,1495.0
-159.0,716.0,-239.0
1529.0,1274.0,1301.0
1721.0,1520.0,1315.0
1515.0,1531.0,1710.0
-99.0,1336.0,1344.0
-311.0,231.0,1264.0
1292.0,1498.0,1331.0
1324.0,1295.0,1295.0
1494.0,-329.0,1498.0
1723.0,1308.0,1524.0
1529.0,-210.0,-392.0
1698.0,1535.0,1300.0
1727.0,1298.0,-236.0
1520.0,1498.0,-330.0
1287.0,1326.0,1320.0
1722.0,1723.0,16.0
1533.0,1536.0,1298.0
1305.0,1494.0,1735.0
-96.0,1288.0,1497.0
1737.0,1527.0,1284.0
1324.0,1332.0,-159.0
1502.0,-142.0,-311.0
1521.0,1533.0,177.0
1728.0,1515.0,1524.0
-133.0,1540.0,1309.0
1332.0,1338.0,-65.0
-338.0,1535.0,1509.0
136.0,1533.0,1310.0
-141.0,-255.0,1304.0
1491.0,1260.0,1706.0
-329.0,1668.0,1273.0
1720.0,-329.0,1525.0
1495.0,213.0,1742.0
421.0,1492.0,1537.0
1492.0,1490.0,1294.0
1497.0,1300.0,1728.0
1332.0,1289.0,1723.0
-93.0,-233.0,1506.0
1317.0,1488.0,1922.0
1541.0,1293.0,1538.0
1335.0,1540.0,1523.0
1530.0,1508.0,1731.0
1345.0,1499.0,1323.0
1530.0,1291.0,1940.0
1728.0,1528.0,1730.0
1342.0,1317.0,348.0
1538.0,1717.0,1478.0
1529.0,1466.0,1499.0
1533.0,1717.0,1511.0
1525.0,1324.0,1279.0
709.0,512.0,622.0
1539.0,1321.0,1717.0
1540.0,1303.0,1508.0
1932.0,451.0,27.0
1343.0,1687.0,1726.0
1540.0,1346.0,1542.0
1329.0,1733.0,1925.0
1284.0,1726.0,2139.0
1708.0,1328.0,1521.0
1545.0,1500.0,1333.0
1520.0,1927.0,1551.0
1539.0,1313.0,1529.0
1326.0,1301.0,1542.0
1540.0,1517.0,1735.0
1940.0,1922.0,1503.0
1744.0,1531.0,461.0
1539.0,45.0,1938.0
1725.0,1278.0,1341.0
1544.0,1505.0,1694.0
-27.0,1497.0,-304.0
1520.0,1302.0,1501.0
1708.0,281.0,1282.0
1321.0,1502.0,1505.0
95.0,1540.0,1705.0
1728.0,1736.0,217.0
1531.0,1529.0,1916.0
1545.0,104.0,1719.0
1530.0,1457.0,1548.0
1735.0,1508.0,571.0
1522.0,1513.0,1935.0
2135.0,-295.0,1741.0
1548.0,1486.0,1733.0
-137.0,801.0,1727.0
1268.0,1537.0,1942.0
1301.0,1489.0,1947.0
1511.0,1734.0,1921.0
1497.0,1742.0,1543.0
1502.0,1330.0,1740.0
81.0,1538.0,1744.0
1734.0,1536.0,1328.0
1526.0,1522.0,1316.0
1742.0,1740.0,1548.0
1726.0,1529.0,1538.0
1728.0,1739.0,2129.0
1721.0,1736.0,1751.0
2123.0,1734.0,1928.0
1277.0,1540.0,1347.0
