approx-q,epi-sarsa,online-sarsa
1108.0,-410.0,-575.0
-91.0,-4788.0,-1194.0
1085.0,753.0,-1138.0
-2200.0,313.0,-331.0
-1748.0,-4848.0,-2063.0
-469.0,914.0,-12297.0
-102.0,1099.0,-285.0
-2417.0,-670.0,550.0
-457.0,-3762.0,1517.0
-153.0,1114.0,816.0
1331.0,-339.0,1076.0
-416.0,-681.0,210.0
-197.0,-130.0,866.0
-168.0,-276.0,1042.0
919.0,441.0,-594.0
-452.0,876.0,-387.0
-280.0,-491.0,-457.0
-746.0,-787.0,1053.0
-341.0,-346.0,-360.0
-2714.0,872.0,1094.0
-593.0,-252.0,1061.0
-137.0,1118.0,861.0
874.0,-418.0,-428.0
1120.0,-563.0,1099.0
836.0,-482.0,1254.0
-147.0,-403.0,-1262.0
488.0,-420.0,-175.0
726.0,-225.0,-386.0
-1222.0,875.0,-623.0
-359.0,873.0,-474.0
876.0,1093.0,-178.0
-250.0,-830.0,1020.0
1259.0,-312.0,855.0
-1902.0,-385.0,851.0
-253.0,1517.0,1221.0
1082.0,877.0,899.0
866.0,863.0,888.0
916.0,866.0,-492.0
1462.0,879.0,1092.0
-344.0,917.0,1250.0
1281.0,1037.0,1032.0
-466.0,-374.0,867.0
1026.0,-336.0,1017.0
1087.0,-348.0,1302.0
-764.0,798.0,-211.0
-396.0,1063.0,849.0
846.0,851.0,-377.0
-510.0,1063.0,1225.0
-2348.0,1286.0,-473.0
1085.0,-239.0,886.0
-541.0,-59.0,143.0
823.0,864.0,1308.0
1062.0,830.0,1078.0
855.0,908.0,851.0
-2050.0,886.0,1232.0
859.0,1263.0,1516.0
1072.0,1071.0,1460.0
-291.0,1071.0,840.0
-389.0,877.0,1117.0
-403.0,1253.0,1210.0
-223.0,-214.0,-269.0
1071.0,-420.0,871.0
-437.0,1090.0,1316.0
898.0,1057.0,1092.0
-135.0,-316.0,221.0
1114.0,-396.0,889.0
1285.0,894.0,1119.0
1082.0,1265.0,809.0
831.0,-450.0,1067.0
858.0,-99.0,-190.0
1290.0,837.0,1046.0
162.0,898.0,-418.0
886.0,-492.0,1042.0
846.0,845.0,911.0
874.0,1044.0,1089.0
-229.0,876.0,917.0
-479.0,1114.0,-439.0
838.0,1014.0,861.0
-468.0,-387.0,-203.0
-286.0,846.0,1066.0
905.0,1079.0,1299.0
-2118.0,1016.0,864.0
1303.0,-197.0,876.0
900.0,1234.0,1233.0
1032.0,872.0,-457.0
994.0,869.0,881.0
897.0,846.0,1495.0
-4616.0,859.0,1050.0
872.0,871.0,1056.0
830.0,251.0,1030.0
846.0,39.0,1016.0
1076.0,1466.0,1081.0
-241.0,844.0,852.0
925.0,212.0,1003.0
1037.0,857.0,853.0
1073.0,817.0,825.0
1092.0,858.0,811.0
1328.0,825.0,1052.0
-422.0,-230.0,870.0
869.0,1065.0,819.0
1247.0,892.0,1030.0
852.0,817.0,1033.0
843.0,880.0,856.0
826.0,877.0,823.0
-203.0,841.0,57.0
436.0,1069.0,898.0
1324.0,829.0,-375.0
1000.0,1048.0,822.0
834.0,864.0,856.0
910.0,1473.0,1130.0
926.0,-397.0,1304.0
1226.0,1121.0,-431.0
903.0,1064.0,839.0
860.0,868.0,875.0
1045.0,823.0,-144.0
911.0,869.0,1083.0
1296.0,1052.0,1239.0
880.0,-791.0,117.0
1050.0,1075.0,-237.0
1281.0,912.0,-420.0
-126.0,-2922.0,984.0
839.0,848.0,1311.0
900.0,1240.0,-105.0
878.0,887.0,-130.0
860.0,1276.0,-349.0
880.0,1052.0,836.0
1517.0,1064.0,1084.0
-257.0,856.0,837.0
1010.0,1036.0,1111.0
77.0,1078.0,1084.0
1052.0,828.0,1277.0
1265.0,-342.0,881.0
211.0,1280.0,-8.0
1043.0,861.0,-449.0
1074.0,1055.0,1197.0
1068.0,-301.0,1449.0
1110.0,915.0,1079.0
-365.0,46.0,-332.0
-350.0,931.0,891.0
899.0,1060.0,874.0
1525.0,833.0,870.0
850.0,1008.0,1254.0
906.0,1027.0,1328.0
1078.0,869.0,854.0
869.0,1068.0,-341.0
910.0,1062.0,1076.0
1053.0,819.0,837.0
1091.0,1060.0,-397.0
1066.0,880.0,893.0
875.0,-356.0,1263.0
1235.0,-1.0,1220.0
1070.0,873.0,1249.0
1066.0,-471.0,1094.0
803.0,847.0,880.0
-457.0,1012.0,1092.0
1088.0,919.0,873.0
1247.0,1279.0,1116.0
896.0,22.0,1708.0
1065.0,899.0,442.0
1056.0,-335.0,1070.0
871.0,862.0,873.0
902.0,-446.0,1060.0
829.0,1070.0,1125.0
1238.0,1247.0,1321.0
844.0,1085.0,56.0
1053.0,1269.0,879.0
833.0,900.0,868.0
893.0,47.0,1078.0
834.0,212.0,1287.0
896.0,1059.0,929.0
-156.0,1091.0,1070.0
1313.0,834.0,-422.0
929.0,1052.0,1112.0
799.0,1016.0,1272.0
1298.0,1111.0,1064.0
880.0,1073.0,1068.0
855.0,861.0,1079.0
886.0,868.0,1258.0
842.0,-294.0,1265.0
1038.0,1478.0,1305.0
901.0,1310.0,1049.0
1427.0,1305.0,865.0
1085.0,1221.0,925.0
898.0,1039.0,1062.0
-1.0,1087.0,860.0
916.0,1069.0,862.0
-493.0,1090.0,898.0
205.0,923.0,-168.0
1083.0,863.0,1255.0
1036.0,897.0,-405.0
1071.0,-255.0,1318.0
866.0,1064.0,880.0
1039.0,1056.0,1489.0
1308.0,864.0,920.0
1031.0,1302.0,21.0
1021.0,1088.0,1306.0
1223.0,889.0,241.0
886.0,1495.0,-206.0
-119.0,924.0,1288.0
1065.0,1081.0,1088.0
1066.0,1054.0,1113.0
1210.0,876.0,900.0
1115.0,879.0,1083.0
876.0,1080.0,1270.0
1259.0,1060.0,1254.0
65.0,1296.0,1062.0
1714.0,1085.0,1066.0
920.0,-148.0,1113.0
1317.0,911.0,57.0
277.0,1278.0,866.0
1316.0,-476.0,1282.0
1118.0,924.0,1263.0
880.0,1478.0,1305.0
1321.0,891.0,1078.0
1302.0,-278.0,879.0
1062.0,-413.0,1440.0
1273.0,1089.0,1077.0
917.0,1070.0,1261.0
1267.0,890.0,1469.0
874.0,-165.0,1075.0
1065.0,1075.0,1122.0
1108.0,818.0,859.0
26.0,1504.0,47.0
833.0,1273.0,-318.0
-397.0,855.0,1525.0
1070.0,1081.0,1087.0
1503.0,1071.0,1119.0
1308.0,233.0,895.0
1082.0,1281.0,1457.0
1115.0,1074.0,888.0
1514.0,1309.0,1114.0
1117.0,1087.0,-179.0
842.0,1712.0,871.0
1250.0,1510.0,1293.0
1523.0,1315.0,1254.0
1078.0,1458.0,1094.0
-502.0,202.0,1131.0
-406.0,1044.0,114.0
833.0,-492.0,923.0
1045.0,-47.0,1464.0
1079.0,909.0,1281.0
858.0,-312.0,1064.0
1279.0,189.0,1079.0
1249.0,1048.0,1073.0
1119.0,859.0,1044.0
1026.0,870.0,900.0
1273.0,903.0,1693.0
1059.0,1328.0,1290.0
-354.0,1115.0,876.0
1320.0,876.0,866.0
1314.0,-492.0,1269.0
1271.0,1271.0,1721.0
1301.0,1073.0,1323.0
1523.0,1265.0,838.0
1466.0,1702.0,1283.0
886.0,1063.0,1276.0
1062.0,1071.0,1236.0
1278.0,1093.0,1671.0
1125.0,-168.0,1073.0
1307.0,473.0,1121.0
1083.0,1272.0,1063.0
1273.0,1459.0,878.0
1122.0,1310.0,1476.0
875.0,882.0,878.0
493.0,885.0,1074.0
1085.0,-266.0,1081.0
1240.0,1081.0,1265.0
-470.0,840.0,1064.0
1078.0,1323.0,864.0
1713.0,1087.0,1094.0
1699.0,894.0,1467.0
1111.0,1117.0,1078.0
880.0,1066.0,1518.0
908.0,1110.0,1522.0
1114.0,892.0,1113.0
1059.0,-20.0,1714.0
1478.0,1265.0,1316.0
884.0,1266.0,1316.0
1058.0,1064.0,1275.0
1317.0,1510.0,930.0
-439.0,867.0,1495.0
876.0,1284.0,-84.0
1505.0,1315.0,1248.0
862.0,1097.0,1066.0
1063.0,1058.0,1085.0
1072.0,1707.0,1052.0
211.0,1111.0,1056.0
-158.0,1271.0,1509.0
1473.0,-145.0,1068.0
1278.0,1505.0,1075.0
1503.0,1082.0,1075.0
1078.0,241.0,915.0
1112.0,1296.0,1083.0
1311.0,1278.0,1105.0
-267.0,1034.0,1264.0
882.0,-177.0,-22.0
1646.0,-60.0,1063.0
1455.0,1104.0,28.0
902.0,1290.0,872.0
-452.0,-64.0,1466.0
1307.0,1334.0,1102.0
1266.0,1460.0,1097.0
1267.0,1088.0,1503.0
1696.0,55.0,1317.0
1102.0,1323.0,1279.0
1065.0,1126.0,840.0
1487.0,1091.0,1061.0
-417.0,-187.0,1461.0
1068.0,1117.0,1041.0
1469.0,1072.0,1117.0
1079.0,1462.0,1714.0
1289.0,1241.0,880.0
1075.0,-494.0,867.0
863.0,1305.0,1304.0
1073.0,1314.0,1061.0
1053.0,1281.0,1250.0
1255.0,1270.0,492.0
1313.0,1493.0,1444.0
1258.0,1101.0,1514.0
1506.0,1289.0,1070.0
-131.0,1279.0,1058.0
1086.0,888.0,1086.0
10.0,893.0,252.0
1105.0,1064.0,306.0
1082.0,1261.0,870.0
887.0,1277.0,1084.0
1256.0,880.0,1117.0
661.0,-501.0,1675.0
895.0,1510.0,1449.0
875.0,1667.0,1278.0
1063.0,1126.0,859.0
1315.0,835.0,-190.0
1269.0,1051.0,1069.0
-365.0,900.0,1442.0
1056.0,1290.0,1085.0
-458.0,1491.0,1705.0
1031.0,1080.0,1310.0
1086.0,1461.0,1114.0
1468.0,878.0,1066.0
835.0,1709.0,1289.0
1116.0,276.0,1055.0
1269.0,397.0,1068.0
1270.0,1070.0,850.0
1264.0,1269.0,1303.0
1276.0,-145.0,1425.0
1471.0,-401.0,686.0
1074.0,1511.0,1512.0
1248.0,884.0,1271.0
1705.0,1081.0,863.0
1058.0,857.0,1040.0
277.0,1714.0,1123.0
852.0,1299.0,872.0
874.0,1102.0,1313.0
1280.0,1098.0,1298.0
1052.0,1063.0,1088.0
1257.0,1042.0,1079.0
1078.0,1243.0,1506.0
834.0,1116.0,871.0
1254.0,872.0,881.0
1501.0,1045.0,1502.0
1514.0,1063.0,206.0
1267.0,1292.0,1059.0
1274.0,1080.0,1267.0
1018.0,1112.0,1323.0
1266.0,1042.0,1085.0
1070.0,851.0,63.0
1307.0,1503.0,-313.0
1257.0,-402.0,1071.0
-280.0,1287.0,297.0
57.0,1305.0,1107.0
1490.0,1274.0,1286.0
873.0,1066.0,1236.0
-154.0,1520.0,1307.0
1505.0,1244.0,1055.0
1064.0,886.0,1445.0
877.0,51.0,1084.0
1466.0,1309.0,1066.0
867.0,1113.0,870.0
1286.0,1515.0,857.0
1113.0,881.0,888.0
-212.0,853.0,1049.0
1260.0,1080.0,1246.0
1074.0,1517.0,253.0
1079.0,1470.0,-447.0
37.0,1258.0,1094.0
1066.0,55.0,1499.0
846.0,1123.0,888.0
1051.0,1322.0,1077.0
862.0,65.0,1306.0
809.0,1065.0,1085.0
-257.0,843.0,1324.0
-171.0,1312.0,1265.0
1319.0,447.0,1516.0
850.0,-183.0,1267.0
1308.0,1057.0,1084.0
1248.0,1463.0,1089.0
-177.0,1121.0,1268.0
919.0,1231.0,1111.0
1083.0,1309.0,1272.0
1505.0,1511.0,869.0
869.0,1506.0,1226.0
1278.0,1497.0,1111.0
884.0,1686.0,1067.0
1263.0,1066.0,1668.0
1080.0,901.0,1282.0
1091.0,47.0,1049.0
1280.0,1306.0,1079.0
1056.0,914.0,879.0
1277.0,-424.0,1510.0
237.0,1076.0,876.0
1085.0,1066.0,1076.0
1094.0,1305.0,1267.0
1065.0,-206.0,1478.0
879.0,1643.0,910.0
1261.0,1065.0,1077.0
876.0,1277.0,1079.0
1293.0,854.0,1274.0
1314.0,1454.0,1263.0
875.0,1072.0,-440.0
-144.0,1267.0,1319.0
418.0,-447.0,251.0
1062.0,1075.0,1504.0
883.0,503.0,1278.0
911.0,1071.0,1250.0
300.0,1081.0,1311.0
1060.0,1285.0,873.0
1276.0,141.0,1056.0
1328.0,1248.0,1329.0
1076.0,1114.0,-398.0
1061.0,1055.0,1505.0
1055.0,1321.0,864.0
909.0,1303.0,1472.0
1292.0,1511.0,1513.0
-466.0,847.0,1683.0
51.0,137.0,-117.0
874.0,1705.0,875.0
1065.0,1306.0,1452.0
1263.0,1113.0,1278.0
-67.0,1515.0,-114.0
-162.0,1512.0,1263.0
292.0,1103.0,1496.0
1129.0,871.0,271.0
1072.0,1109.0,68.0
1509.0,1705.0,848.0
1476.0,1282.0,1291.0
1067.0,1067.0,1270.0
1266.0,1244.0,1279.0
1064.0,1067.0,1305.0
383.0,1093.0,1306.0
1067.0,1306.0,1066.0
874.0,1112.0,1458.0
1446.0,1078.0,1260.0
1059.0,1494.0,1320.0
868.0,1122.0,1479.0
1090.0,1087.0,870.0
1051.0,857.0,1470.0
1262.0,1116.0,1309.0
860.0,1046.0,1264.0
-501.0,1081.0,1087.0
917.0,1518.0,1485.0
1248.0,1068.0,892.0
-272.0,1088.0,1292.0
-60.0,1715.0,1063.0
1066.0,1070.0,1253.0
1475.0,919.0,875.0
1069.0,1083.0,878.0
1087.0,865.0,1077.0
294.0,1081.0,1300.0
162.0,1241.0,1265.0
1048.0,1273.0,1083.0
-495.0,-11.0,1710.0
1064.0,1057.0,1282.0
1050.0,1085.0,1278.0
1486.0,1267.0,915.0
1082.0,1112.0,1264.0
1320.0,1075.0,1108.0
418.0,1284.0,1473.0
1073.0,1115.0,861.0
1071.0,1302.0,1253.0
1057.0,883.0,1041.0
1250.0,1094.0,1671.0
1092.0,1301.0,1476.0
1301.0,-350.0,1264.0
1706.0,1466.0,1261.0
1267.0,1523.0,1467.0
1060.0,1062.0,1310.0
40.0,-421.0,1108.0
-225.0,920.0,1515.0
1128.0,1279.0,1504.0
1514.0,1253.0,1316.0
918.0,1071.0,1689.0
879.0,1464.0,1252.0
896.0,1109.0,1307.0
1311.0,1247.0,450.0
239.0,1309.0,1121.0
1057.0,1067.0,1054.0
1259.0,-476.0,1253.0
1082.0,1070.0,1494.0
253.0,1084.0,1047.0
1069.0,1267.0,1509.0
386.0,1073.0,894.0
1279.0,1080.0,852.0
879.0,1514.0,1125.0
1287.0,1261.0,856.0
1520.0,875.0,1080.0
271.0,1081.0,1081.0
1045.0,1276.0,-45.0
1461.0,1271.0,1068.0
1072.0,883.0,1305.0
1267.0,1266.0,912.0
1088.0,-56.0,1068.0
1127.0,864.0,1049.0
1277.0,1291.0,1277.0
644.0,844.0,1060.0
855.0,1497.0,1278.0
1060.0,1076.0,1277.0
1282.0,1314.0,1042.0
1070.0,1721.0,112.0
1509.0,1051.0,1252.0
1504.0,84.0,110.0
1069.0,1517.0,1288.0
851.0,1062.0,1054.0
1506.0,567.0,1500.0
1083.0,1114.0,1317.0
1120.0,1646.0,1031.0
1320.0,1089.0,1260.0
1306.0,1056.0,-449.0
1058.0,866.0,1507.0
1517.0,1086.0,1290.0
1075.0,1255.0,867.0
1313.0,206.0,1049.0
1072.0,1063.0,1283.0
1310.0,924.0,371.0
1058.0,1259.0,1274.0
1054.0,-297.0,909.0
1455.0,1257.0,51.0
1241.0,1268.0,1511.0
1301.0,-201.0,1521.0
1645.0,1062.0,1653.0
1253.0,871.0,85.0
1051.0,1316.0,1449.0
1719.0,860.0,1258.0
1075.0,1054.0,1073.0
849.0,1284.0,1302.0
1063.0,32.0,1084.0
-457.0,1651.0,1273.0
1085.0,-265.0,1289.0
1430.0,36.0,1260.0
918.0,1474.0,1279.0
1282.0,1709.0,1111.0
1074.0,858.0,1505.0
1259.0,1470.0,1303.0
1106.0,849.0,1106.0
1323.0,884.0,1109.0
1088.0,1104.0,883.0
1301.0,1062.0,1099.0
142.0,1632.0,1296.0
1686.0,453.0,-475.0
1114.0,1306.0,95.0
919.0,1300.0,890.0
1265.0,833.0,1479.0
1267.0,892.0,894.0
1273.0,1073.0,871.0
1317.0,1664.0,863.0
867.0,1264.0,1313.0
916.0,1450.0,858.0
1121.0,1705.0,1062.0
869.0,-168.0,1065.0
1453.0,1277.0,1501.0
1049.0,1047.0,1043.0
1322.0,1670.0,1491.0
1462.0,1313.0,1057.0
1278.0,-142.0,1318.0
1300.0,1276.0,892.0
1258.0,175.0,1704.0
1321.0,1274.0,1268.0
-434.0,1307.0,884.0
1078.0,1102.0,1435.0
96.0,1699.0,1057.0
1069.0,655.0,919.0
1305.0,214.0,1090.0
-136.0,1487.0,1493.0
1051.0,1278.0,1451.0
-437.0,1306.0,1240.0
-376.0,-101.0,1062.0
1061.0,1309.0,1069.0
873.0,1309.0,873.0
1316.0,1267.0,1107.0
1298.0,1245.0,1715.0
1473.0,1503.0,874.0
1287.0,1113.0,374.0
1054.0,1304.0,870.0
1080.0,1066.0,1309.0
1503.0,1277.0,1502.0
1044.0,1502.0,1260.0
1080.0,1093.0,-435.0
1088.0,877.0,1112.0
882.0,1080.0,1049.0
1496.0,1267.0,1265.0
1064.0,1314.0,1496.0
1081.0,1064.0,1102.0
1476.0,1297.0,878.0
1072.0,1080.0,203.0
1505.0,1042.0,1490.0
1271.0,128.0,1251.0
-223.0,1239.0,1088.0
1312.0,1260.0,1111.0
154.0,1495.0,696.0
1305.0,1251.0,1116.0
1294.0,1308.0,1066.0
1060.0,1313.0,852.0
290.0,1045.0,-425.0
1497.0,-220.0,853.0
885.0,1512.0,1307.0
1291.0,1319.0,1055.0
1306.0,1308.0,1316.0
1304.0,1244.0,1307.0
1449.0,1285.0,1076.0
1058.0,51.0,1521.0
1035.0,-254.0,1079.0
1101.0,1470.0,1258.0
1070.0,1071.0,1256.0
-139.0,1498.0,867.0
-119.0,1245.0,1466.0
1071.0,1309.0,859.0
1496.0,-474.0,864.0
1463.0,209.0,1066.0
1269.0,1500.0,1113.0
159.0,1112.0,1079.0
1251.0,1318.0,1313.0
1704.0,-204.0,1444.0
1044.0,1256.0,1085.0
1506.0,926.0,270.0
867.0,1103.0,1245.0
1065.0,1238.0,910.0
1291.0,1052.0,1119.0
1053.0,846.0,828.0
1116.0,155.0,-346.0
1288.0,1458.0,861.0
1709.0,1458.0,1446.0
885.0,1067.0,-404.0
1073.0,1110.0,1285.0
1249.0,280.0,1064.0
1316.0,1079.0,1500.0
1075.0,1089.0,1475.0
1262.0,1280.0,-329.0
-316.0,881.0,928.0
1074.0,1248.0,1116.0
1693.0,1475.0,110.0
1104.0,1075.0,1048.0
1299.0,1077.0,1283.0
1455.0,1269.0,1073.0
1305.0,1697.0,1311.0
1262.0,1312.0,378.0
1274.0,1313.0,1264.0
1707.0,1075.0,1457.0
1510.0,1277.0,1524.0
1673.0,1047.0,1069.0
1481.0,869.0,1269.0
1067.0,1085.0,857.0
1079.0,-79.0,1116.0
1072.0,1505.0,-354.0
1039.0,39.0,1107.0
1254.0,1268.0,1286.0
1466.0,1520.0,1674.0
1259.0,1288.0,1074.0
1492.0,1263.0,1510.0
1311.0,1451.0,1066.0
1325.0,1059.0,1056.0
-49.0,1495.0,1461.0
909.0,1458.0,1494.0
1295.0,15.0,1716.0
1712.0,1492.0,1325.0
1069.0,1261.0,851.0
865.0,1274.0,1099.0
