OS-lambda-0.9,OS-lambda-0.45,OS-lambda-0.0
-212.0,1940.0,-888.0
-293.0,1677.0,-709.0
3.0,1450.0,-488.0
-359.0,143.0,1560.0
-329.0,1261.0,1533.0
-212.0,1304.0,1540.0
-217.0,1282.0,1413.0
-293.0,467.0,1479.0
-221.0,-374.0,1462.0
-213.0,-56.0,-356.0
-289.0,1100.0,414.0
-424.0,256.0,-320.0
-392.0,1234.0,1267.0
-356.0,-87.0,1267.0
-548.0,-230.0,-329.0
-82.0,1259.0,23.0
-113.0,-278.0,1168.0
-329.0,-374.0,1226.0
-266.0,1274.0,1233.0
-356.0,1289.0,1469.0
-307.0,1280.0,127.0
-193.0,1113.0,1588.0
-320.0,1575.0,1249.0
-60.0,-365.0,1222.0
-305.0,-392.0,-147.0
-374.0,207.0,268.0
-299.0,1484.0,1449.0
-261.0,-311.0,1113.0
-374.0,-87.0,1203.0
-248.0,-212.0,35.0
-176.0,-320.0,1363.0
-360.0,464.0,1510.0
-37.0,-103.0,1421.0
-3.0,-293.0,1208.0
-302.0,-374.0,1017.0
-374.0,-320.0,1137.0
-329.0,-214.0,52.0
-302.0,-788.0,1275.0
-283.0,-295.0,102.0
-208.0,-230.0,-392.0
-207.0,-83.0,-302.0
-311.0,-311.0,1216.0
-487.0,-168.0,1282.0
-392.0,-356.0,1283.0
-327.0,-150.0,1207.0
-320.0,-320.0,1310.0
-392.0,-320.0,1194.0
-241.0,-45.0,1646.0
-96.0,-320.0,1428.0
-197.0,131.0,-445.0
-381.0,1466.0,-293.0
-234.0,-320.0,-248.0
-329.0,-221.0,1134.0
-155.0,-311.0,1202.0
-320.0,-302.0,1060.0
-345.0,1293.0,1212.0
-207.0,1720.0,-15.0
-311.0,-320.0,-329.0
-600.0,1722.0,1281.0
15.0,-87.0,-353.0
-311.0,-392.0,-114.0
-320.0,1123.0,-293.0
-311.0,-356.0,1497.0
-136.0,1252.0,1504.0
-177.0,1052.0,255.0
-374.0,-36.0,-320.0
-203.0,-329.0,57.0
-279.0,1251.0,-203.0
-311.0,-311.0,1471.0
-197.0,169.0,1517.0
-118.0,1101.0,-159.0
-197.0,-69.0,1291.0
-715.0,-320.0,-15.0
-230.0,1428.0,1296.0
-144.0,1492.0,1525.0
-356.0,-56.0,1283.0
-120.0,1278.0,1510.0
-323.0,84.0,38.0
-203.0,-257.0,1476.0
-311.0,1284.0,39.0
1532.0,1302.0,-36.0
-338.0,1492.0,1328.0
-203.0,1495.0,1291.0
-311.0,1496.0,-159.0
1332.0,1529.0,1497.0
81.0,1308.0,10.0
1537.0,1305.0,1306.0
-263.0,1522.0,1273.0
-302.0,83.0,70.0
-426.0,1489.0,1522.0
1327.0,-356.0,1922.0
1532.0,1332.0,1500.0
1525.0,-338.0,1296.0
1332.0,1547.0,1320.0
-87.0,1707.0,117.0
-374.0,1534.0,1489.0
-230.0,-392.0,1481.0
1332.0,145.0,-1.0
-123.0,-293.0,41.0
1329.0,-88.0,-285.0
-128.0,211.0,-329.0
-320.0,-150.0,1484.0
-329.0,1532.0,1322.0
-320.0,1737.0,1302.0
-162.0,-114.0,1493.0
-374.0,-320.0,1503.0
-89.0,13.0,-356.0
-356.0,21.0,-284.0
-293.0,-195.0,-329.0
202.0,1497.0,1313.0
-356.0,-45.0,1305.0
130.0,-239.0,169.0
-338.0,-132.0,-293.0
1334.0,-293.0,138.0
-2851.0,-374.0,1307.0
-356.0,66.0,1330.0
-15.0,-374.0,21.0
72.0,1497.0,1291.0
-302.0,1527.0,-203.0
-230.0,-123.0,-338.0
-275.0,-329.0,-105.0
-132.0,-356.0,-356.0
-338.0,82.0,1296.0
1530.0,-32.0,1516.0
274.0,-311.0,1304.0
1294.0,-150.0,-54.0
292.0,-329.0,1494.0
1532.0,1292.0,-392.0
-69.0,-329.0,-132.0
-141.0,-338.0,-329.0
-15.0,1300.0,-302.0
-99.0,169.0,-401.0
-186.0,1296.0,1278.0
1532.0,-195.0,1725.0
-329.0,193.0,-339.0
-302.0,1330.0,-356.0
-356.0,1320.0,1746.0
-160.0,1516.0,1311.0
-374.0,1486.0,1482.0
-329.0,17.0,1290.0
-230.0,1294.0,1284.0
-228.0,1738.0,1495.0
-321.0,1300.0,1293.0
-397.0,1497.0,1508.0
-392.0,1485.0,1283.0
-123.0,351.0,-38.0
-329.0,1290.0,-356.0
-559.0,-374.0,208.0
-462.0,-93.0,-315.0
-424.0,1516.0,-311.0
-240.0,1328.0,1292.0
-392.0,1528.0,18.0
-356.0,1688.0,-87.0
-462.0,1496.0,-401.0
-2701.0,1531.0,-338.0
-320.0,-329.0,1721.0
-186.0,-98.0,1300.0
-338.0,-374.0,1299.0
-299.0,-392.0,-320.0
-374.0,-45.0,-302.0
-374.0,1285.0,106.0
-392.0,1292.0,1295.0
161.0,1332.0,1307.0
-320.0,234.0,1308.0
1493.0,-183.0,1287.0
-356.0,-374.0,1477.0
1294.0,1489.0,-257.0
42.0,1310.0,1303.0
-5.0,1332.0,-218.0
-320.0,-106.0,1724.0
-356.0,1730.0,67.0
-66.0,1328.0,1519.0
-132.0,-27.0,1508.0
-325.0,1289.0,103.0
-329.0,-213.0,-37.0
163.0,1290.0,1268.0
-329.0,-28.0,1295.0
-356.0,-159.0,1285.0
47.0,-392.0,32.0
-212.0,-392.0,1283.0
-176.0,1288.0,1705.0
-338.0,234.0,1725.0
-27.0,12.0,-374.0
3.0,1527.0,1291.0
-245.0,-338.0,1515.0
297.0,-293.0,1333.0
-374.0,1526.0,27.0
66.0,-356.0,1497.0
-320.0,3.0,187.0
-329.0,1694.0,1693.0
240.0,-45.0,1293.0
-186.0,-329.0,-374.0
-356.0,1285.0,-302.0
1493.0,188.0,-266.0
-197.0,39.0,1519.0
10.0,1498.0,-392.0
-320.0,1694.0,1720.0
-73.0,1499.0,1293.0
1292.0,1280.0,-329.0
1534.0,-168.0,1295.0
1292.0,45.0,122.0
-231.0,1327.0,-356.0
-397.0,1295.0,1712.0
-146.0,-392.0,1296.0
315.0,-329.0,1490.0
-23.0,-141.0,1515.0
-356.0,-322.0,1530.0
-803.0,1295.0,1328.0
-207.0,1292.0,1298.0
-311.0,1725.0,1470.0
-356.0,1284.0,1714.0
-160.0,1314.0,1296.0
-789.0,-321.0,1296.0
-374.0,1308.0,-293.0
-329.0,-36.0,-392.0
1315.0,-87.0,-356.0
-163.0,-392.0,1481.0
-338.0,-186.0,-2.0
-69.0,430.0,111.0
-311.0,1711.0,-338.0
-266.0,1329.0,-141.0
95.0,1292.0,12.0
-132.0,-40.0,-45.0
1319.0,1289.0,-356.0
-401.0,-203.0,113.0
1289.0,204.0,-323.0
-329.0,21.0,-338.0
-293.0,-356.0,1506.0
-266.0,-329.0,-356.0
-543.0,-186.0,1286.0
-588.0,1267.0,-212.0
-401.0,1285.0,1529.0
-329.0,57.0,-221.0
-320.0,-356.0,-293.0
1495.0,1292.0,1347.0
-338.0,1285.0,1292.0
37.0,1494.0,1302.0
-392.0,1291.0,-392.0
222.0,-105.0,1507.0
214.0,1510.0,252.0
-356.0,-221.0,473.0
48.0,1503.0,1499.0
1308.0,-203.0,-311.0
-230.0,1303.0,1495.0
592.0,6.0,1497.0
-374.0,1299.0,-329.0
-374.0,-329.0,-167.0
-293.0,-87.0,1536.0
-45.0,1502.0,-320.0
128.0,1281.0,1296.0
-132.0,1697.0,1287.0
1289.0,145.0,655.0
-338.0,-311.0,-186.0
30.0,-195.0,-311.0
-114.0,-329.0,-130.0
1295.0,11.0,1721.0
-338.0,1287.0,1697.0
1294.0,136.0,-27.0
193.0,-230.0,164.0
-257.0,-230.0,-27.0
1500.0,-320.0,1290.0
1496.0,1296.0,1292.0
-329.0,-289.0,1282.0
-338.0,-266.0,1519.0
-230.0,134.0,1312.0
163.0,1296.0,-374.0
204.0,-356.0,-159.0
-338.0,-356.0,-239.0
-356.0,-31.0,-123.0
-184.0,-374.0,1514.0
12.0,1497.0,2.0
-338.0,-302.0,-186.0
-374.0,-38.0,-338.0
111.0,-36.0,-356.0
-311.0,84.0,1495.0
-3367.0,1539.0,1295.0
-114.0,1315.0,184.0
-338.0,1537.0,-338.0
-67.0,456.0,-163.0
-203.0,-150.0,171.0
163.0,-159.0,-338.0
-7.0,-186.0,1462.0
-356.0,-329.0,1494.0
-293.0,1291.0,-374.0
1517.0,1318.0,1292.0
-230.0,1498.0,1291.0
-329.0,1287.0,10.0
-356.0,1530.0,219.0
1739.0,-320.0,1515.0
1322.0,-392.0,-168.0
-36.0,185.0,1499.0
1501.0,1275.0,1276.0
1314.0,262.0,1296.0
82.0,84.0,1294.0
57.0,-329.0,-87.0
-199.0,-141.0,1288.0
1512.0,118.0,1499.0
